Name,Group,Release,Daily,Weekly,Description
SecureBootTest.secure_boot_3405(),,,Yes,Yes,DBT安全设置项管理
SecureBootTest.secure_boot_3308(),,,,,审计模式验证工具ByoAuditModeTest.efi
SetupPsw.setup_psw_4001(),,,,Yes,检查管理员密码为大写字母加小写字母加数字
SetupPsw.setup_psw_4002(),,,,Yes,检查管理员密码为大写字母加小写字母加特殊字符
SetupPsw.setup_psw_4003(),,,,Yes,检查管理员密码为大写字母加数字加特殊字符
SetupPsw.setup_psw_4004(),,,,Yes,检查管理员密码为小写字母加数字加特殊字符
SetupPsw.setup_psw_4005(),,,,Yes,检查管理员密码为大写字母加小写字母加数字加特殊字符
SetupPsw.setup_psw_4006(),,,,Yes,检查管理员密码长度为最小值
SetupPsw.setup_psw_4007(),,,,Yes,检查管理员密码长度为最大值
SetupPsw.setup_psw_4008(),,,,Yes,检查管理员密码输错测试
SetupPsw.setup_psw_4009(),,,,Yes,检查修改管理员密码测试
SetupPsw.setup_psw_4010(),,,,Yes,检查修改管理员为前5次测试
SetupPsw.setup_psw_4011(),,,,Yes,检查用户密码为大写字母加小写字母加数字
SetupPsw.setup_psw_4012(),,,,Yes,检查用户密码为大写字母加小写字母加特殊字符
SetupPsw.setup_psw_4013(),,,,Yes,检查用户密码为大写字母加数字加特殊字符
SetupPsw.setup_psw_4014(),,,,Yes,检查用户密码为小写字母加数字加特殊字符
SetupPsw.setup_psw_4015(),,,,Yes,检查用户密码为大写字母加小写字母加数字加特殊字符
SetupPsw.setup_psw_4016(),,,,Yes,检查用户密码长度为最小值
SetupPsw.setup_psw_4017(),,,,Yes,检查用户密码长度为最大值
SetupPsw.setup_psw_4018(),,,,Yes,检查用户密码输错测试
SetupPsw.setup_psw_4019(),,,,Yes,检查修改用户密码测试
SetupPsw.setup_psw_4020(),,,,Yes,检查修改用户为前5次测试
SetupPsw.setup_psw_4021(),,,,Yes,管理员密码负面测试
SetupPsw.setup_psw_4022(),,,,Yes,用户密码负面测试
SetupPsw.setup_psw_4023(),,,,Yes,同时设置管理员用户密码测试
SetupPsw.setup_psw_4024(),,,,Yes,"同时设置管理员用户密码,管理员密码登录,修改管理员,用户密码测试"
SetupPsw.setup_psw_4025(),,,,Yes,"同时设置管理员用户密码,用户密码登录,修改管理员,用户密码测试"
SetupPsw.setup_psw_4026(),,,,Yes,"同时设置管理员用户密码,F9不会清除密码,刷新BIOS后,清除密码"
SetupPsw.setup_psw_4027(),,,,Yes,"设置管理员密码,开机密码测试"
SetupPsw.setup_psw_4028(),,,,Yes,"设置用户密码,开机密码测试"
SetupPsw.setup_psw_4029(),,,,Yes,"同时设置管理员,用户密码,开机密码测试"
SetupPsw.setup_psw_4030(),,,,Yes,管理员密码有效期
SetupPsw.setup_psw_4031(),,,,Yes,用户密码有效期
SetupPsw.setup_psw_4032(),,,,Yes,管理员，用户密码有效期
HddPswTest.hdd_password_5000(),,,,Yes,硬盘密码前提测试
HddPswTest.hdd_password_5001(),,,,Yes,TCG协议硬盘密码设置检查
HddPswTest.hdd_password_5002(),,,,Yes,TCG协议设置硬盘密码的哈希算法
HddPswTest.hdd_password_5003(),,,,Yes,TCG协议硬盘管理员密码长度边界值校验
HddPswTest.hdd_password_5004(),,,,Yes,TCG协议硬盘管理员密码复杂度检查
HddPswTest.hdd_password_5005(),,,,Yes,TCG协议更改硬盘管理员密码
HddPswTest.hdd_password_5006(),,,,Yes,TCG协议删除硬盘管理员密码
HddPswTest.hdd_password_5007(),,,,Yes,TCG协议硬盘用户密码长度边界值校验
HddPswTest.hdd_password_5008(),,,,Yes,TCG协议硬盘用户密码复杂度检查
HddPswTest.hdd_password_5009(),,,,Yes,TCG协议修改硬盘用户密码
